ecoregion	year	exporter	importer	shared_metabolites	direction
Central	2015	polaribacter	synechococcus	6	polaribacter -> synechococcus
Central	2016	synechococcus	roseobacter	6	synechococcus -> roseobacter
East	2015	synechococcus	pelagibacter	6	synechococcus -> pelagibacter
East	2015	prochlorococcus	synechococcus	6	prochlorococcus -> synechococcus
Central	2015	synechococcus	roseobacter	6	synechococcus -> roseobacter
Central	2015	synechococcus	prochlorococcus	6	synechococcus -> prochlorococcus
Central	2016	synechococcus	pelagibacter	6	synechococcus -> pelagibacter
East	2016	polaribacter	synechococcus	5	polaribacter -> synechococcus
West	2016	pelagibacter	prochlorococcus	5	pelagibacter -> prochlorococcus
West	2015	synechococcus	roseobacter	5	synechococcus -> roseobacter
North	2015	synechococcus	pelagibacter	5	synechococcus -> pelagibacter
North	2015	synechococcus	polaribacter	5	synechococcus -> polaribacter
West	2015	prochlorococcus	synechococcus	5	prochlorococcus -> synechococcus
West	2016	pelagibacter	synechococcus	5	pelagibacter -> synechococcus
West	2015	synechococcus	polaribacter	5	synechococcus -> polaribacter
West	2015	polaribacter	synechococcus	5	polaribacter -> synechococcus
West	2015	synechococcus	pelagibacter	5	synechococcus -> pelagibacter
Central	2016	prochlorococcus	synechococcus	5	prochlorococcus -> synechococcus
East	2016	synechococcus	pelagibacter	5	synechococcus -> pelagibacter
West	2016	synechococcus	prochlorococcus	4	synechococcus -> prochlorococcus
Central	2015	polaribacter	prochlorococcus	4	polaribacter -> prochlorococcus
North	2016	synechococcus	roseobacter	4	synechococcus -> roseobacter
North	2015	synechococcus	prochlorococcus	4	synechococcus -> prochlorococcus
Central	2015	pelagibacter	synechococcus	4	pelagibacter -> synechococcus
North	2015	roseobacter	synechococcus	4	roseobacter -> synechococcus
North	2015	synechococcus	roseobacter	4	synechococcus -> roseobacter
East	2016	synechococcus	roseobacter	4	synechococcus -> roseobacter
West	2016	polaribacter	synechococcus	3	polaribacter -> synechococcus
Central	2016	roseobacter	synechococcus	3	roseobacter -> synechococcus
North	2016	synechococcus	prochlorococcus	3	synechococcus -> prochlorococcus
East	2015	synechococcus	prochlorococcus	2	synechococcus -> prochlorococcus
North	2016	synechococcus	pelagibacter	2	synechococcus -> pelagibacter
North	2016	synechococcus	polaribacter	2	synechococcus -> polaribacter
Central	2016	polaribacter	synechococcus	2	polaribacter -> synechococcus
